"DateTime","Hagar Verð ","Hagar Magn"
"2016-07-28 18:00:00",47.075,7995000
"2016-07-29 18:00:00",46,5459000
"2016-08-02 18:00:00",46.05,1000000
"2016-08-03 18:00:00",46.325,1645000
"2016-08-04 18:00:00",45.8,4195000
"2016-08-05 18:00:00",45.6,5172000
"2016-08-08 18:00:00",45.6,0
"2016-08-09 18:00:00",45.35,2900000
"2016-08-10 18:00:00",45.7,14124407
"2016-08-11 18:00:00",45.9,1380000
"2016-08-12 18:00:00",47.1,3317126
"2016-08-15 18:00:00",48.45,12375561
"2016-08-16 18:00:00",48.9,9210000
"2016-08-17 18:00:00",49,12533633
"2016-08-18 18:00:00",49.65,1823538
"2016-08-19 18:00:00",49.25,1130000
"2016-08-22 18:00:00",49.5,9074123
"2016-08-23 18:00:00",49,2380000
"2016-08-24 18:00:00",50.6,9448000
"2016-08-25 18:00:00",49.5,1619444
"2016-08-26 18:00:00",49.5,700000
"2016-08-29 18:00:00",48.5,6446606
"2016-08-30 18:00:00",48.4,2773586
"2016-08-31 18:00:00",48.4,5785116
"2016-09-01 18:00:00",48.65,6124926
"2016-09-02 18:00:00",50.25,16163748
